"ZipCode","ZIP_AverageHomeValue","ZIP_AverageIncome","ZIP_Population","ZIP_LandArea"
27741,481400,141522,11315,37.13
23482,348700,73113,5142,60.237
15851,238100,62106,37265,20.49
43201,300300,77669,43876,12.627
11505,298700,82283,30590,16.281
19843,432000,137224,25833,39.099
27635,390200,88088,5838,95.196
70000,348100,100609,3946,63.862
69700,448300,113806,40695,17.174
45853,359000,89324,27988,8.643
41373,652200,172866,14857,21.269
45971,0,56250,281,8.298
10955,478800,127488,15900,82.91
26404,407700,128061,28498,14.666
71930,561300,128796,1510,17.21
10950,422700,137500,6131,27.23
29631,671900,147750,1216,7.717
24996,471700,122815,54086,19.874
30700,564600,161538,28310,16.275
31556,487000,117973,21374,15.536
95300,507700,146092,24946,24.894
49846,443000,126834,29411,28.9
40502,501400,141538,4288,14.554
45933,333300,85923,37747,7.411
33305,476300,136121,32383,9.811
16529,362200,99643,9521,17.448
13268,497800,141156,19801,32.231
90830,452700,117244,41236,8.763
17818,575000,141994,45887,12.103
15508,450500,119708,27169,62.452
29119,464000,121973,46506,56.976
15967,434900,121058,6549,42.738
55400,428000,110833,7877,59.177
36608,360500,76359,14557,64.444
87720,411800,116058,15252,48.49
12053,440800,98480,17529,4.51
68740,464800,111430,29128,8.224
28192,614000,132591,13165,3.157
30086,460400,81607,2492,72.819
46430,508400,94539,55990,12.44
30102,471200,124317,43102,8.373
37419,357800,116365,17379,6.808
13120,284500,82344,14258,8.063
45955,533800,112467,55066,18.87
78960,562800,140051,29377,7.424
10974,466500,107053,37691,7.563
53550,777900,201370,18364,23.642
90200,369500,69318,27989,2.797
51292,457400,101293,33537,6.611
21380,584500,108781,24302,4.766
45100,547700,79872,14092,2.187
74470,671700,123375,16235,2.829
19041,549000,79790,8878,13.019
10909,1070400,215122,18099,26.98
28960,452100,105735,32059,29.24
71240,974200,186225,29887,13.643
47194,834300,110799,21985,10.483
62710,742500,157865,17558,10.133
44273,181300,60186,6862,23.671
11246,421000,92158,27105,7.512
21422,430600,108494,17456,5.115
61150,441200,116688,28550,5.941
36690,487800,136176,31285,8.892
26290,410300,65909,8699,12.63
41333,647300,137388,23491,5.812
11591,704400,150938,14879,5.692
18074,829200,170839,24863,11.76
12014,273400,81756,57598,15.81
12259,313300,94528,53394,18.545
11892,289000,93470,73047,17.675
18584,618500,119117,33476,2.339
22787,623200,107341,22543,3.87
47411,576200,98583,21850,1.534
33041,466800,76071,47233,4.111
47999,758800,175289,17087,2.706
48119,424800,104091,19051,2.048
39662,875800,170423,30920,6.449
41014,567400,102066,12314,0.6
29242,0,26442,648,1.751
33357,666600,161940,2936,0.57
69080,714400,129475,11162,1.393
17449,414300,100463,16485,2.247
25343,361500,89442,12601,1.457
11284,339400,76883,44300,4.634
48105,586400,83995,15440,1.35
25000,413800,68993,32326,7.245
31160,518600,106673,9581,2.885
90140,651200,172500,12737,4.495
52018,391100,81226,33220,7.535
51632,436400,120577,29609,7.166
44209,480400,61993,17560,1.537
16360,429300,76245,30614,5.357
48452,637300,120319,29653,3.793
20867,445800,126300,26202,5.466
47800,321500,53980,24286,10.44
27875,271000,86337,29152,52.596
15615,248000,78975,54962,56.702
51325,261000,84798,26851,45.921
18521,196500,44854,3286,152.377
82800,195800,45750,394,4.135
44334,174400,81908,232,4.192
26717,167400,58333,746,28.542
36390,132800,75038,725,41.463
18710,208000,26193,463,41.491
45330,225100,55703,8083,61.006
35459,158400,54608,1796,40.658
68680,138000,47788,1876,57.668
46189,100000,38029,1921,31.147
22260,246200,56574,5099,112.532
33302,172200,61111,369,17.518
64600,258300,38859,2993,30.458
23965,287700,84857,23004,175.621
12963,198900,55601,4334,87.978
41648,256500,77619,12696,55.395
45646,0,0,31,11.477
28186,285400,58917,1240,14.117
20000,201400,55000,2603,87.039
29248,195700,63102,5402,91.477
28852,213400,60268,2796,33.94
69850,156000,109620,307,13.249
33125,376300,72411,2063,17.032
24829,209700,69250,1950,20.666
12831,188700,61810,15850,162.333
44934,240400,71730,19242,173.822
13690,282400,93372,13935,44.628
11418,330800,107567,51463,66.362
14660,311900,99527,25675,31.634
17835,172200,41913,6704,91.185
49087,220600,47500,3163,47.295
12110,163500,44326,7470,138.475
83630,225600,44732,1785,11.012
44227,296900,56875,2510,18.568
14899,182000,49764,5160,89.774
18200,211800,46960,27813,9.871
10220,247000,74852,28443,110.245
50057,215100,64674,13910,98.02
52150,250800,63798,1842,51.628
47837,328200,67240,8757,80.804
28630,339200,95000,2348,45.743
50008,258300,57500,2565,19.286
40365,225300,79554,3641,43.823
34359,452900,46797,637,32.798
47859,223700,60593,30292,130.563
14400,235800,60272,1970,44.542
14904,213200,83778,4414,51.067
61040,191300,58669,2177,37.562
42518,251600,78636,3880,35.665
31274,251100,74018,2381,8.386
68970,191700,56955,10956,61.932
42100,187700,48977,1689,9.187
91490,224200,44393,8753,49.987
57450,231300,61375,31444,163.411
92990,229600,34676,874,12.868
39200,252400,71974,8415,36.22
12317,247700,90156,1406,26.651
15487,446600,61563,853,24.999
16460,326000,105054,2282,21.098
42757,194000,44559,776,15.767
29220,229200,45455,5547,101.129
38737,342100,105662,3310,45.238
83980,0,60750,1338,5.527
32080,334600,75417,1469,47.492
21888,240700,72857,3187,30.041
39416,269100,58854,2936,40.293
46264,380200,48672,1149,26.997
36068,276600,95000,1926,22.161
37320,400000,56705,1132,38.818
24871,246000,42338,37989,32.476
39233,183500,45224,26293,90.495
43862,204500,63846,863,24.945
45225,206900,56976,8927,43.058
51975,189500,51465,8355,71.884
50034,0,33672,214,22.501
50616,197700,54067,5753,81.769
36036,198100,51757,6018,86.003
17658,165600,50279,10388,136.38
37802,140000,59271,1773,112.549
53700,169200,66301,813,60.635
24912,218800,54226,1091,24.392
30634,206300,56979,1250,17.77
54890,189300,48359,11634,150.687
26474,234300,70917,4354,26.375
23297,248000,58387,2791,31.248
23295,166200,47254,5063,72.469
19781,229900,59231,2458,113.189
43730,201700,46228,4528,48.499
48082,302500,67482,1855,11.122
58270,151700,44504,5044,46.987
55250,211800,62390,899,12.046
75300,152000,39679,5956,55.183
25621,159200,44291,4367,36.479
39181,317900,63283,32532,52.151
18966,258700,59122,21223,62.781
30448,347200,55840,38229,75.631
80060,297000,77925,15971,51.063
33711,265800,61667,4186,75.663
40003,171900,46929,1993,50.561
45025,285600,71993,5035,50.286
35330,321300,72151,7488,108.361
30495,363600,110911,4853,36.433
28672,168300,39145,1486,45.677
35047,230000,60857,1444,42.457
49900,246000,71277,5398,16.697
69430,220600,50130,8113,111.742
35420,554700,74344,4198,43.687
50764,477600,36118,305,5.692
31510,161900,31107,1300,36.788
10568,212200,51705,2029,49.133
33505,282800,57250,1578,38.854
16240,198500,53816,10722,128.269
38684,223400,68543,15401,121.7
48220,214800,47153,1956,78.013
31612,235900,72602,9815,38.573
11421,247100,52679,1437,43.715
21034,192400,38971,1735,53.751
58960,2000000,0,439,14.297
48326,219900,50625,6191,102.297
64860,289400,80841,5385,40.341
47040,173500,48363,31451,74.338
51684,81300,41016,851,39.457
45993,243000,62632,15227,67.375
50175,218000,76910,6279,77.704
24160,248800,75294,4249,81.233
43793,164100,83672,930,26.137
12129,0,0,323,19.941
30111,211500,53908,8120,105.987
43780,0,71071,233,1.3
34770,145500,33026,1413,45.588
20835,162600,53980,5128,147.764
25308,289100,56016,283,17.018
21500,290000,39931,1473,14.707
27203,167900,28214,1775,74.959
25642,255300,64375,1056,14.809
38061,136600,45183,4661,147.349
35846,320900,45694,1692,7.521
29941,282000,79894,1952,47.405
98100,0,68000,598,4.137
52930,213600,64325,915,15.515
12947,450000,54028,458,5.962
80350,375500,104805,31919,45.915
47381,250400,81476,33417,15.172
20680,224100,68393,21208,156.616
37037,216900,40865,2340,1.442
45229,189400,62616,5278,100.266
18656,190600,61809,1909,21.697
24388,248400,69155,3197,54.52
36634,296500,74583,1563,11.98
12400,228400,58750,11541,36.765
16185,131900,42207,9819,4.584
77400,132200,49121,1732,56.839
46146,193800,51618,1799,41.206
60950,190100,60402,3247,82.656
36408,247400,59694,4914,60.609
68430,181500,56059,12694,208.651
31019,272700,80833,2659,29.673
62880,482200,104082,4634,37.42
30477,196500,62679,1821,17.19
37519,205800,43693,794,22.129
33776,229100,73828,36490,78.09
28959,231800,85212,46982,32.403
14257,401200,100675,23848,35.399
30249,278200,93468,17449,11.263
47783,290200,98890,27228,62.816
48599,242200,61610,9141,136.79
42145,366500,129635,5971,63.896
19563,120600,34450,1860,40.917
12504,240200,72813,3185,54.504
20748,187000,0,223,2.178
10325,318400,57132,534,22.336
10991,276500,81827,1045,11.646
53310,207600,0,953,8.383
35793,247500,75817,24425,239.084
36815,213800,74643,5175,74.924
19663,240600,76149,6471,36.365
45870,322800,96328,3093,33.475
57390,138500,53000,1827,64.923
44110,215000,58279,3190,50.452
30430,158400,57143,12045,29.803
19892,273300,87721,1334,13.221
41641,158800,46469,1555,39.951
43000,176900,52981,173,10.845
26845,285200,84545,6115,23.389
15498,231900,38583,1325,9.33
36429,237400,39904,1907,16.284
12060,144300,38571,656,4.313
90510,146900,56100,616,20.425
52944,186600,69375,441,10.151
44346,208300,64063,5426,65.476
48520,317100,74344,46370,56.026
33551,306600,76001,38733,97.954
19624,269500,88559,7067,76.202
12196,285500,23177,3781,1.535
16756,355500,64500,13680,3.302
19457,122200,33703,24563,8.302
16809,148400,37047,47677,16.847
10216,109200,33474,33461,11.662
33170,199700,43487,39169,14.299
41848,317300,81406,15805,5.902
19371,224500,49183,24440,11.372
24583,163800,47430,34198,11.199
17850,287600,76033,32283,14.269
51989,181800,50640,5852,4.172
27938,177200,53411,34685,88.298
43805,0,0,0,0
44083,323300,98125,28908,12.344
62720,157700,46419,42989,19.727
19100,215400,72451,30165,17.466
34704,204200,73433,25822,14.404
48602,161400,51952,21192,20.446
23413,272400,69920,25134,21.466
26422,194600,54196,17558,4.14
94260,141100,30656,1831,27.237
23007,0,0,155,3.325
37703,175200,48353,741,7.114
32800,208800,69861,1088,14.581
19776,0,25333,769,7.792
33298,86100,27328,2106,33.002
14387,164700,36766,4736,60.056
40370,267500,80814,6991,19.148
15690,211900,57763,1525,29.149
17718,243700,68099,51797,32.613
25415,249000,68852,33653,26.335
38900,327300,92842,60473,150.808
18893,238100,75947,35906,120.548
30541,162700,40105,22851,6.681
10347,193100,56002,17592,3.827
43999,222500,47414,2941,19.312
51119,136100,32546,3403,27.964
44072,378800,0,207,3.393
53248,195800,52431,1246,3.55
13354,130100,41094,776,14.962
17676,0,32625,645,12.803
35251,139900,40848,2015,28.932
15500,115600,37237,1893,29.567
31038,38300,0,356,5.444
29858,237600,44924,4047,49.342
93970,113900,34824,2376,32.425
20684,113200,33063,4255,32.32
16976,262100,70702,17281,100.542
21828,317800,75500,1538,13.233
12281,327000,80192,1218,1.7
12447,208700,54597,47670,203.403
18960,273100,84855,27053,39.551
28140,193100,58946,4283,99.629
18260,231700,63615,1818,41.064
11573,89700,33056,1059,13.352
23806,418400,62347,41544,18.398
41903,238400,62382,59321,14.64
81030,227800,63413,35960,9.205
22610,286600,67284,60283,30.608
88240,276900,68957,47938,16.123
37549,321500,95598,51748,50.595
41415,359200,81739,4289,68.278
51487,0,45667,1091,1.364
43396,0,0,1201,0.217
31697,0,0,287,0.061
31168,199000,58788,61973,11.71
11216,247200,73255,72359,16.771
15090,164500,60395,6298,94.104
21852,0,0,201,7.273
76130,193400,48080,20678,10.108
25434,186700,48162,30856,5.171
81800,173300,28795,23483,4.15
25858,211100,41885,28503,6.419
16330,393300,65226,25818,0.888
50015,301100,51267,20263,3.519
37482,170900,46211,12817,2.567
24597,375500,49724,7031,1.125
54260,0,51528,2457,5.498
27266,234100,44926,4484,0.798
23378,211300,53881,28095,6.244
93030,162300,26626,7793,2.161
83020,191600,50786,25127,7.473
44551,206600,60463,39676,13.358
27350,174100,48094,3899,7.243
40360,0,51724,5720,12.107
45136,245200,55142,29283,9.373
18995,115700,30053,24519,5.825
21962,186500,51715,42917,10.703
23377,157200,42415,14113,4.699
32005,302200,84777,12150,15.317
14300,145300,43361,14495,2.778
48580,214600,61732,10194,5.228
17116,0,54623,5120,5.535
52523,197200,52932,49825,19.792
18481,194600,46222,43148,12.462
32720,252300,45195,3032,7.584
31348,0,76161,127,1.825
33234,317000,82209,18846,22.807
21100,343500,103825,23292,13.522
44550,344300,82000,3669,5.615
18071,163400,48704,25161,7.561
48909,135000,33869,11424,2.532
51837,204100,64222,25739,14.151
29225,150900,33960,18716,5.059
39778,165200,37455,14236,4.032
26927,203600,61142,3393,6.325
32561,134900,36861,40542,72.223
26596,154700,47492,19490,73.303
19319,109000,39848,1597,64.945
16844,108700,37064,7214,177.116
18460,106300,37014,1443,51.331
19716,108800,62500,395,35.336
22711,155600,61012,2622,81.835
22769,234400,72813,1491,46.535
46736,215900,71463,33079,24.067
33599,210300,80985,33739,39.48
18159,179000,57760,2297,57.122
50555,171800,54567,25612,22.582
48742,222900,82162,11444,25.322
11956,183800,49890,4298,106.118
17052,315700,105570,15341,99.935
13788,175200,54362,741,25.034
19697,129400,48601,1858,47.746
52320,160500,43800,3479,73.135
41000,207600,75951,6906,130.555
28240,104800,41250,788,45.138
24250,101600,30053,16962,281
37440,116500,69408,1051,50.188
46250,161100,41260,13715,106.744
24686,0,57675,525,15.033
19694,137900,42942,31970,50.372
33046,199300,59911,2237,87.06
44364,98500,41680,2189,92.288
46819,105000,31098,7367,121.267
11360,161800,39156,2376,95.958
11522,116600,46771,1004,40.128
29766,205200,58866,10878,35.112
22630,202900,59183,456,35.928
32225,200000,61006,1118,39.419
20133,75600,53796,679,33.676
44062,149700,41042,2176,119.618
32560,123000,46365,2516,160.263
45318,184300,61717,2551,57.145
11668,219300,52031,2807,33.936
24235,116700,31282,2275,87.192
30723,83100,26202,581,33.68
16906,140300,41732,4249,196.183
34484,0,29519,454,25.902
49540,179800,87969,673,32.35
92650,219800,58864,2223,49.629
28883,153500,41015,16399,200.285
48371,98000,49957,1220,32.741
30821,132800,39145,3684,108.464
39207,200900,41821,2666,32.649
94110,109200,45338,3489,121.735
10373,118300,34158,1991,80.813
23820,141500,38528,3785,67.867
29120,132000,37718,2592,88.703
11690,109200,34138,6232,137.412
14770,144600,38696,5690,107.077
44568,130500,41796,8212,218.444
18147,87000,24565,1970,72.843
10888,154500,35921,1112,59.084
32147,110300,32670,4261,140.095
25393,101800,35812,4293,133.324
20920,102300,38537,3348,61.067
59420,110500,46354,2017,63.552
36723,144200,39491,3170,97.811
45340,101600,47438,1264,58.582
43076,130000,51005,1990,43.005
32398,0,0,587,21.813
17924,83400,38041,1138,44.083
51512,126300,45761,2337,53.38
27621,89000,34167,1118,47.42
12713,119000,40403,8254,121.239
14025,108600,40558,5012,98.319
47744,133300,41595,29015,20.409
13939,82000,29534,8684,2.26
50670,175400,51232,16570,28.63
72750,171400,50181,15255,4.505
10300,122700,27492,9047,3.247
22228,108900,34927,23392,8.967
19156,215900,62083,36432,45.409
48978,178100,63253,26502,30.932
26256,87500,35978,6797,107.559
74160,88800,33571,13674,86.904
18526,283900,42090,53311,132.619
28573,180700,59630,4963,32.836
93230,188100,62107,6141,85.333
51150,150500,49236,4883,160.646
83000,143600,40272,2230,56.171
20607,109500,39250,1879,33.149
10830,179000,62250,1298,27.777
34241,178100,54828,29793,88.745
45692,157100,38542,932,0.809
86940,117100,37177,7115,6.923
36705,122700,51150,1766,38.644
14385,264000,85347,2587,7.983
43558,134300,53575,11304,118.18
48114,127800,44050,2182,175.643
23631,121400,43438,5408,117.208
46450,82400,29978,2640,11.258
44527,262600,67636,4781,94.967
32770,167800,47663,7215,174.797
46173,131400,45089,3063,35.547
40021,165300,54267,4677,25.233
15306,239400,64699,6132,55.469
13343,137700,37750,1697,32.082
55060,255900,57041,3469,74.787
46466,93800,33104,32646,151.691
14690,255900,57634,10501,94.904
42508,134200,58286,1683,28.742
43785,92200,52161,4352,72.347
64970,154400,34507,4261,240.547
41988,0,0,140,43.168
27735,90500,41517,2626,43.284
44788,100500,45865,5741,102.627
16365,117200,47083,3393,48.788
26267,173700,74036,1613,27.058
34291,160300,47750,575,24.471
21092,113800,55313,1201,6.484
53514,108700,41495,8013,71.273
25081,215300,71136,3339,53.127
27666,88700,38098,693,55.801
36410,140000,42252,20000,162.515
44891,180500,55472,37761,105.02
52807,165700,44148,2421,46.693
42263,111800,32679,1613,43.388
43936,0,72958,187,0.991
37400,112100,35242,8250,199.69
35601,115700,39010,2539,34.17
53436,235600,63797,8818,71.963
10905,374400,64318,1360,21.985
17830,162800,49150,18616,47.296
30000,184100,46861,4705,42.826
31481,133200,54537,854,37.709
35696,108300,35636,17116,10.36
33846,135500,41999,12905,127.497
72290,134100,41136,16840,141.375
18179,202400,58641,9922,70.689
52370,52800,26063,2939,67.435
22992,102500,40199,11265,72.824
51974,82400,35584,6734,108.588
28445,80600,26477,1697,57.512
34049,77100,37931,1433,26.773
29442,71600,32285,7016,92.964
62000,78800,31345,9597,128.512
29426,114300,43080,2222,22.4
25719,75400,31392,5723,170.354
34507,77500,26480,1129,51.874
16722,77000,29327,2596,52.396
41735,100100,40490,8773,118.499
87330,83500,25440,3491,58.166
51861,81100,32612,5734,79.053
81220,120900,48192,9521,121.234
45284,0,23393,324,7.662
32017,96300,31516,2689,62.984
97240,84500,34458,6262,63.287
14889,77500,28556,5849,52.876
49213,85000,37634,5541,80.694
41320,66700,24475,2487,54.979
42184,110400,32772,1874,4.953
44469,109800,44043,10791,58.506
21329,107900,40184,14366,80.228
53139,84700,29961,1977,40.538
47467,107000,34023,2401,37.278
26220,51300,25795,884,7.142
19223,105700,40774,3774,182.371
30367,100600,35588,3858,37.594
40614,119000,60368,639,66.909
37210,102900,47437,6979,80.392
17274,77500,44167,174,13.476
38501,119900,0,644,18.758
20859,141500,56280,2013,34.976
20428,131800,30921,1039,52.169
22576,85300,27056,3401,41.527
25154,100800,33534,17996,144.174
31658,109100,44750,5657,58.932
70080,119200,36504,9267,132.493
43059,177200,48787,1931,79.373
21979,93100,30047,3958,106.111
39307,58200,20938,668,11.403
52302,114500,29776,890,28.746
75360,92700,38420,15315,106.126
97650,111700,48655,6169,85.195
30362,112700,48698,5431,56.168
35672,106700,30221,1365,75.47
46365,127800,36250,781,27.376
44420,121900,44302,4953,82.755
30032,75000,29419,6572,150.514
58860,76700,43077,1611,61.558
31497,88300,32230,1229,81.993
41717,120800,37185,2639,84.398
30600,117200,51845,3816,51.732
40000,151500,39119,14366,200.192
12721,179800,46394,35499,133.241
10258,117200,30778,8807,55.58
13550,219800,60811,3868,76.555
32050,98800,40360,6315,83.333
16947,96400,42454,14329,332.742
95060,122000,29327,2643,35.254
12850,142200,55728,2656,14.211
17608,0,54844,336,50.291
20269,254800,72039,1925,31.273
12010,272200,61842,904,13.326
49183,162700,34375,1253,94.764
46880,165500,47072,2916,27.74
71090,166000,47970,6140,44.159
20591,129500,45430,2673,105.993
48660,237000,50293,16741,205.794
21300,170000,48281,1530,245.883
45976,231700,84226,2212,23.546
26310,241000,43208,2271,63.955
36890,205400,65313,280,7.027
47355,199000,53948,10573,48.532
50263,240300,67188,1537,60.519
21772,174000,50642,4872,15.334
11660,184400,58869,3490,22.818
22193,102100,31273,26757,38.529
50650,157300,46499,43426,27.735
34836,238500,67491,19331,41.824
13638,109200,32813,9777,32.11
25471,137300,39680,5693,36.034
38396,94800,45523,2450,92.774
51910,168700,47342,10576,231.596
31564,147500,50080,9213,197.003
37716,165900,47586,18952,225.318
16633,98900,59667,1593,65.269
23430,117000,52538,3027,31.576
17702,104100,37315,3200,97.959
63700,100700,45313,1088,35.088
27950,116300,40395,9203,197.483
39280,113000,25714,1740,57.847
15122,155800,62386,4742,92.072
46320,99600,39154,32170,76.044
21821,110300,35390,28221,73.001
36988,102800,45574,4292,51.056
31189,165800,50641,7258,65.098
41481,235600,73487,20667,68.136
33605,99100,34556,1902,126.585
33722,119600,43036,3995,118.044
51572,119500,47537,2140,23.262
41721,221200,59242,3053,42.706
38403,90400,35772,7977,164.302
32480,119700,45191,6347,93.841
17677,99100,40026,5489,67.411
52288,96300,42763,1026,57.448
48600,85500,46250,1402,37.161
38449,109300,36402,1064,36.181
29417,159200,53575,1979,51.308
42060,140200,43451,16395,63.938
39070,154300,61250,3977,108.831
12915,86100,31975,5239,191.989
43030,99400,47050,1389,32.781
54850,121200,43055,5562,53.05
11634,140400,46362,9647,72.662
53860,197600,52403,8074,166.636
37420,159500,66019,1963,36.283
17705,103800,28125,1651,54.898
41012,109800,32153,1257,49.679
62070,121700,41563,1984,73.86
29130,110600,30192,606,46.788
11101,99000,40651,9301,48.144
15797,100100,34924,7630,103.968
39620,78900,33140,8061,128.046
29816,68200,21125,2774,76.768
87990,61500,24697,1028,49.425
19313,90400,36022,6774,65.615
13222,66900,30301,3533,42.123
53730,86200,32609,5953,19.071
46640,84900,35463,2760,44.268
29678,117500,44146,6314,157.063
38311,71400,31192,3404,68.452
92208,290100,70020,12414,3.835
57398,205400,96060,63140,37.161
47568,155300,56577,46364,16.887
79476,186400,78488,51624,11.646
96892,256400,92661,8785,95.417
10440,228100,78217,21607,8.067
71962,353000,122010,30347,14.979
89847,317900,114642,38666,16.472
